rssi,node,sequence
-70.3955589488332,192.168.4.7,49200
-71.61768576780699,192.168.4.12,49216
-70.82554812565458,192.168.4.7,49216
-53.26958629078529,192.168.4.5,49216
-59.23569974680885,192.168.4.3,49216
-65.72438116039643,192.168.4.6,49216
-59.82098520865229,192.168.4.10,49216
-53.325159254796944,192.168.4.5,49232
-65.70090703338208,192.168.4.6,49232
-59.16359597339386,192.168.4.3,49232
-71.55906005447275,192.168.4.12,49232
-72.63749135412378,192.168.4.11,49232
-59.94293191034682,192.168.4.10,49232
-70.93323482807155,192.168.4.7,49232
-71.61079472953081,192.168.4.12,49248
-59.1583312842196,192.168.4.3,49248
-70.86799883908418,192.168.4.7,49248
-53.18652085597436,192.168.4.5,49248
-65.71057548137978,192.168.4.6,49248
-60.13443988845354,192.168.4.10,49248
-65.6554075425299,192.168.4.6,49264
-53.020571192846,192.168.4.5,49264
-60.24165501770591,192.168.4.10,49264
-70.80527549477229,192.168.4.7,49264
-59.089015567322285,192.168.4.3,49264
-71.55346649960669,192.168.4.12,49264
-59.05410832676716,192.168.4.3,49296
-60.41768496585085,192.168.4.10,49296
-53.05185645565594,192.168.4.5,49296
-65.63431584374109,192.168.4.6,49296
-70.7449392837966,192.168.4.7,49296
-71.56922844304373,192.168.4.12,49296
-72.92632090859459,192.168.4.11,49296
-59.05237705857239,192.168.4.3,49312
-53.20966148823679,192.168.4.5,49312
-65.61394452365242,192.168.4.6,49312
-71.72442520952298,192.168.4.12,49312
-73.16908233345734,192.168.4.11,49312
-60.62201579687834,192.168.4.10,49312
-70.78670357066929,192.168.4.7,49312
-65.62631912304738,192.168.4.6,49344
-71.6992338894886,192.168.4.12,49344
-53.2985180001352,192.168.4.5,49344
-58.98681930164964,192.168.4.3,49344
-60.74443557547863,192.168.4.10,49344
-73.47034115188487,192.168.4.11,49344
-60.897224901206336,192.168.4.10,49360
-70.893194626079,192.168.4.7,49360
-53.3208250585786,192.168.4.5,49360
-73.72576922695862,192.168.4.11,49360
-65.6702718777179,192.168.4.6,49360
-71.60600606100701,192.168.4.12,49360
-61.0076527546165,192.168.4.10,49376
-70.86370702015505,192.168.4.7,49376
-58.95534789208913,192.168.4.3,49376
-53.183603283306944,192.168.4.5,49376
-65.68080417050537,192.168.4.6,49376
-65.69098388898395,192.168.4.6,49392
-58.92492546091002,192.168.4.3,49392
-61.14857645106327,192.168.4.10,49392
-70.80240080776514,192.168.4.7,49392
-71.55088957711364,192.168.4.12,49392
-53.17777953947074,192.168.4.5,49392
-61.283480377716536,192.168.4.10,49408
-71.4979823732244,192.168.4.12,49408
-53.0454168558705,192.168.4.5,49408
-70.87444597111659,192.168.4.7,49408
-58.92731282385221,192.168.4.3,49408
-65.66897995724081,192.168.4.6,49408
-74.0724677220568,192.168.4.11,49408
-71.44716642501143,192.168.4.12,49440
-58.8978630057744,192.168.4.3,49440
-65.64770646054879,192.168.4.6,49440
-61.34317100496392,192.168.4.10,49440
-58.86938353606421,192.168.4.3,49472
-52.91738669335137,192.168.4.5,49472
-61.43493422667608,192.168.4.10,49472
-65.59537821245317,192.168.4.6,49472
-71.33084361327936,192.168.4.12,49472
-71.07462629275308,192.168.4.7,49472
-74.43939052479519,192.168.4.11,49472
-74.79234893096258,192.168.4.11,49504
-52.98323058495701,192.168.4.5,49504
-58.84183925403015,192.168.4.3,49504
-71.25257894660291,192.168.4.12,49504
-65.57649330945726,192.168.4.6,49504
-71.00703042037799,192.168.4.7,49504
-61.522964658075686,192.168.4.10,49504
-75.09874923152671,192.168.4.11,49520
-61.57335239111613,192.168.4.10,49520
-70.94181985307745,192.168.4.7,49520
-58.84684475698129,192.168.4.3,49520
-53.01534605303359,192.168.4.5,49520
-65.58991107876588,192.168.4.6,49520
-71.21071504948317,192.168.4.12,49520
-65.60288965504208,192.168.4.6,49536
-71.20370314666333,192.168.4.12,49536
-71.0085167591108,192.168.4.7,49536
-61.68959431128126,192.168.4.10,49536
-58.7884549226309,192.168.4.3,49536
-52.920189367350375,192.168.4.5,49536
-65.52059670907802,192.168.4.6,49584
-61.733813259666086,192.168.4.10,49584
-52.82811316434076,192.168.4.5,49584
-58.731965155999085,192.168.4.3,49584
-58.74042365693203,192.168.4.3,49616
-61.84348471727864,192.168.4.10,49616
-52.86503461148628,192.168.4.5,49616
-71.16381152094274,192.168.4.12,49616
-65.5041532492888,192.168.4.6,49616
-71.07289323833916,192.168.4.7,49616
-52.806318453879406,192.168.4.5,49648
-71.03829125251075,192.168.4.7,49648
-61.91556012152989,192.168.4.10,49648
-58.71707743161149,192.168.4.3,49648
-65.48824344940681,192.168.4.6,49648
-71.0593625860485,192.168.4.12,49648
-71.10142108750424,192.168.4.7,49664
